id,name,nickname,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
5e4eec08896c9423,Corey Anderson,Overtime,"6'3""",205,79,1989,4.55,47,2.2,59,.5.48,52,75,..0.0,8,4,4,1
16690d100f995f8f,Omari Akhmedov,Wolverine,"6'0""",185,73,1987,3.01,33,2.91,57,.2.89,51,53,..0.3,5,3,2,0
0c1a04afca64e38f,Josh Appelt,The Juggernaut,"5'10""",255,73,1983,1.35,40,11.5,32,.0.00,0,33,..0.0,0,0,0,0
269d103c96a4c3a5,Kenji Arai,,"5'10""",145,,1979,8.79,27,10.29,39,.0.00,0,0,..0.0,0,1,-1,-1
d0d7160824278840,Junior Assuncao,,"5'9""",145,72,1981,3.31,62,2.06,44,.2.43,24,66,..0.7,2,3,-1,-1
dbea8c1cb327ab3d,Igor Araujo,,"6'1""",170,77,1980,1.52,42,2.86,49,.0.86,15,22,..0.6,2,2,0,-2
dbd198f780286aca,Angelo Antonio,,,205,,  --,1.09,50,7.64,50,.0.00,0,0,..0.0,0,1,-1,-1
2f13e4020cea5b38,Raphael Assuncao,,"5'5""",135,66,1982,3.38,40,2.23,70,.1.40,36,79,..0.3,14,4,10,4
9bad58fa651d6196,Jermaine Andre,,"5'7""",200,,  --,0,0,0,0,.0.00,0,0,..0.0,2,1,1,2
2f5cbecbbe18bac4,Shamil Abdurakhimov,Abrek,"6'3""",235,76,1981,2.44,45,2.24,60,.1.50,26,66,..0.2,4,2,2,2
1e38bba6738b7b10,Alfonso Alcarez,,"5'3""",145,,1970,0,0,0,0,.0.00,0,0,..0.0,0,0,0,0
1e13936d708bcff7,George Allen,,"6'2""",205,,1967,0.8,38,3.1,43,.0.00,0,50,..0.0,0,1,-1,-1
19ba965651486013,Derek Anderson,Barbaric,"6'0""",155,,1990,3.97,37,3.08,61,.0.34,14,60,..0.0,0,0,0,0
1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,"6'4""",185,80,1989,4.51,55,2.08,71,.0.00,0,85,..0.3,4,0,4,4
78d48d3874dacafd,Zu Anyanwu,8th Wonder,"6'1""",251,77,1981,2.47,42,2.47,69,.0.65,100,0,..0.0,0,1,-1,-1
9e3dbb9c68ed5d1a,Mike Aina,Iron,"5'9""",155,,  --,2.87,33,6.33,59,.0.00,0,71,..0.0,0,1,-1,1
4438482bd1d5a029,Jaime Alvarez,,"5'8""",125,69,1988,2.73,40,4.53,56,.1.00,33,50,..0.0,0,0,0,0
c11036da9162cb5f,Mike Altman,,"5'10""",185,,  --,1.56,20,2.08,75,.0.00,0,0,..0.0,0,1,-1,-1
