event_id,method
d181689653115b6a,SUB
d181689653115b6a,U-DEC
d181689653115b6a,SUB
d181689653115b6a,KO/TKO
15515e797aedc137,KO/TKO
15515e797aedc137,U-DEC
15515e797aedc137,KO/TKO
15515e797aedc137,U-DEC
15515e797aedc137,SUB
15515e797aedc137,S-DEC
15515e797aedc137,KO/TKO
15515e797aedc137,KO/TKO
15515e797aedc137,SUB
15515e797aedc137,U-DEC
15515e797aedc137,U-DEC
15515e797aedc137,U-DEC
7cf20446453f852b,S-DEC
7cf20446453f852b,SUB
7cf20446453f852b,U-DEC
7cf20446453f852b,U-DEC
7cf20446453f852b,U-DEC
7cf20446453f852b,KO/TKO
7cf20446453f852b,S-DEC
7cf20446453f852b,U-DEC
7cf20446453f852b,SUB
7cf20446453f852b,KO/TKO
7cf20446453f852b,KO/TKO
602bb270f2bdbf02,KO/TKO
602bb270f2bdbf02,S-DEC
602bb270f2bdbf02,KO/TKO
602bb270f2bdbf02,U-DEC
602bb270f2bdbf02,U-DEC
602bb270f2bdbf02,KO/TKO
602bb270f2bdbf02,U-DEC
602bb270f2bdbf02,U-DEC
602bb270f2bdbf02,S-DEC
602bb270f2bdbf02,U-DEC
602bb270f2bdbf02,SUB
602bb270f2bdbf02,KO/TKO
02177caefe7c07d4,U-DEC
02177caefe7c07d4,KO/TKO
02177caefe7c07d4,KO/TKO
02177caefe7c07d4,S-DEC
02177caefe7c07d4,KO/TKO
02177caefe7c07d4,U-DEC
02177caefe7c07d4,KO/TKO
02177caefe7c07d4,U-DEC
02177caefe7c07d4,U-DEC
02177caefe7c07d4,U-DEC
02177caefe7c07d4,KO/TKO
fc1868f56d3036eb,KO/TKO
fc1868f56d3036eb,U-DEC
fc1868f56d3036eb,U-DEC
fc1868f56d3036eb,SUB
fc1868f56d3036eb,U-DEC
fc1868f56d3036eb,KO/TKO
fc1868f56d3036eb,U-DEC
fc1868f56d3036eb,SUB
fc1868f56d3036eb,S-DEC
fc1868f56d3036eb,U-DEC
fc1868f56d3036eb,U-DEC
04076783ca83d6ae,U-DEC
04076783ca83d6ae,U-DEC
04076783ca83d6ae,SUB
04076783ca83d6ae,U-DEC
04076783ca83d6ae,U-DEC
04076783ca83d6ae,U-DEC
04076783ca83d6ae,U-DEC
04076783ca83d6ae,M-DEC
04076783ca83d6ae,U-DEC
04076783ca83d6ae,SUB
eaa0a728cc91ef60,U-DEC
eaa0a728cc91ef60,KO/TKO
