id,name,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
51e86de150ee8be6,Thibault Gouti,5'10",155,72,1987,3.68,34,5.64,50,.1.23,80,83,..0.3,1,5,-4,-2
70167689d6a01793,David Gardner,5'11",155,,1977,0.17,100,0.34,0,.0.00,0,66,..0.0,0,1,-1,-1
2391a73686200c5d,Hugo Govea,,,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
e4a9dbade7c7e1a7,Rolles Gracie,6'4",242,,1978,2.30,32,3.38,55,.2.30,10,0,..0.0,0,1,-1,-1
068f8a189a47fea6,Maurice Greene,6'7",258,80,1986,3.28,45,3.61,45,.0.00,0,27,..0.4,4,4,0,-2
dee294e9717012c2,Malcolm Gordon,5'7",125,71,1990,2.39,44,2.43,44,.2.06,25,0,..0.7,2,2,0,2
2f1700b3a4a09bc7,Paul Georgieff,6'2",170,,1982,2.55,40,2.34,35,.0.00,0,0,..0.0,0,1,-1,-1
84ff027394f7e470,Gregor Gillespie,5'7",155,71,1986,3.74,52,2.30,57,.6.86,48,100,..0.8,7,1,6,1
a58114c6dd0add64,Demetrius Gioulacos,5'11",185,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,0,0,0
fcffee71cff5530e,Forrest Griffin,6'3",205,77,1979,4.38,36,2.81,61,.1.05,48,57,..0.7,12,6,6,1
04d5718ed2661e8c,Jorge Gurgel,5'7",155,69,1977,3.37,32,3.62,62,.0.81,23,60,..0.5,5,8,-3,-2
6d7886b094b471ac,Sean Gannon,6'3",265,,  --,0.00,0,6.38,28,.0.00,0,50,..0.0,0,1,-1,-1
fe98f86284a6eeb3,Gustavo Gabriel,5'6",125,,1994,4.06,65,4.26,46,.0.00,0,50,..0.0,0,1,-1,-1
09439946214993bc,Chase Gibson,5'10",155,72,1990,3.13,54,6.40,52,.0.00,0,0,..0.0,0,1,-1,-1
079488710f012779,Cesar Gracie,5'10",181,,  --,0.00,0,17.14,50,.0.00,0,0,..0.0,0,1,-1,-1
7559395ad833c074,Miranda Granger,5'7",115,68,1992,2.79,47,2.57,57,.0.00,0,33,..0.0,1,3,-2,-3
a54660deb6a8489c,Muin Gafurov,5'7",135,68,1996,2.07,47,3.13,39,.5.00,41,100,..0.0,0,1,-1,-1
c10eb2f12c489f6d,Tim Gorman,5'5",135,,1983,2.73,31,5.57,46,.1.00,9,33,..0.0,0,2,-2,-2
ad3fdba28a7540cf,Eric Galvan,,155,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
052ceb8976695342,Chase Gormley,6'3",265,,  --,3.60,42,6.03,44,.3.12,42,0,..1.0,0,2,-2,-2
ec34349e7dffcde7,Claudia Gadelha,5'4",115,63,1988,3.31,41,4.57,57,.3.03,42,58,..0.7,7,5,2,-1
5ca158b1cc9cb242,Jason Godsey,6'2",230,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,2,-2,-2
28d8638ea0a71908,Nick Gonzalez,5'6",155,,1981,0.59,20,2.35,33,.0.00,0,50,..0.0,0,2,-2,-2
1abfb658cd4f8533,Nandor Guelmino,6'3",230,,1975,3.62,56,3.16,33,.0.00,0,42,..0.0,0,2,-2,-2
