id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum,elo,best_elo,avg_opp_elo
4f74c8be51db8a37,Daiju Takase,72,170,75,0.49,30,1.64,47,0.84,17,21,1.2,4,6,-2,-1,1127.79,1243.66,1149.58
0d16bdb7d32e88e9,Hiroyuki Takaya,66,139,75,3.18,33,3.16,60,0.9,45,66,0,8,6,2,-1,1389.76,1484.35,1284.81
d856a0080ac09ed7,Yoshihiro Takayama,77,280,75,3.4,54,5.69,29,0.67,33,55,0,0,3,-3,-3,999.83,999.83,1252.66
a7724f51e32e763e,Makoto Takimoto,67,205,75.9047619,1.37,39,1.71,55,1.48,50,25,1.1,4,3,1,2,1220.4,1220.4,1221.99
49858bf46dabf6fb,Nordine Taleb,73,170,74,3.42,54,2.52,67,2.3,76,71,0,6,4,2,-2,1385.29,1475.44,1276.92
c95fbc085e17a532,Akitoshi Tamura,69,135,70,3.73,43,1.94,78,0,0,20,1,1,2,-1,-1,1181.15,1348.4,1168.64
30e8b4505f5ccf92,Kiyoshi Tamura,71,185,75,2.44,53,1.44,60,0.58,60,45,0.2,7,4,3,3,1378.95,1498.56,1207.37
57bf89d42364d39e,Issei Tamura,65,135,63,1.89,53,4.58,44,0.92,25,33,0,1,2,-1,-2,1336.36,1336.36,1234.9
ad3041e61896b975,Jason Tan,70,170,75,0.69,29,7.37,18,0,0,0,0,0,2,-2,-2,1143.51,1193.96,1160.53
64788ee44b062ded,Michinori Tanaka,65,135,67,1.97,37,1.99,50,2.4,38,43,0.2,2,3,-1,-2,1381.57,1421.99,1225.7
8f2d9ee27f206f1f,Evan Tanner,72,185,74,3.05,59,2.64,56,2.55,43,25,1.3,11,6,5,-2,1319.86,1488.45,1137.27
0eec866a077889f0,Manny Tapia,65,135,67,2.69,21,4.74,58,0.49,40,66,0.2,2,3,-1,-3,1228.09,1401.51,1124.71
b96619b3acd7d9da,Miesha Tate,66,135,65,1.93,41,2.71,50,2.06,31,52,1.6,11,6,5,-2,1410.55,1547.05,1197.6
ef927e4fe2117ab8,Deividas Taurosevicius,69,145,68,2.13,43,1.82,59,2,28,50,0.3,2,1,1,-1,1466.24,1466.24,1204.2
0c6d9ea8306c029e,Brad Tavares,73,185,74,3.02,40,2.73,55,1.04,27,77,0,12,5,7,-1,1573.48,1639.87,1316.83
8a59d346dc976a10,Thiago Tavares,67,145,68,2,40,2.31,62,3.83,42,62,1.5,10,7,3,-1,1399.5,1520.48,1299.99
9b74de674c355425,Paul Taylor,72,155,72,4.44,47,4.47,55,0.27,25,56,0.5,4,5,-1,1,1269.88,1269.88,1187.07
49bddfee9ed54cf3,Louis Taylor,71,185,74,2.06,32,1.24,68,2.48,28,100,0,0,2,-2,-2,1523.18,1538.86,1242.42
b76c6268dc1d3c05,Danielle Taylor,60,115,60,2.75,29,3.31,71,0.2,20,70,0.2,2,3,-1,-2,1246.64,1338.99,1119.74
dd992d569aaebee6,Jesse Taylor,72,170,73,1.94,65,0.55,38,7.28,50,100,3.1,2,3,-1,1,1542.23,1592.13,1276.93
5bb70ebd65075c5c,Shawn Teed,77,265,79,1.4,42,13.31,21,0,0,0,0,0,0,0,0,1228.37,1293.52,1120.64
7ff97850e8c32bda,Glover Teixeira,74,205,76,3.5,43,3.57,56,2.16,46,60,0.8,13,6,7,1,1584.19,1721.18,1326.56
de9e331b3e6bae70,Ewerton Teixeira,73,242,75,2,39,3.22,35,0,0,33,0,0,0,0,0,1099.86,1132.62,1071.67
1dab0d1d81dd06db,Tra Telligman,74,233,75,1.83,35,3.02,56,0.87,100,80,0,2,5,-3,-2,1173.78,1242.73,1187.5
b9aa0024f295609e,Dave Terrel,68,170,75,5.58,44,5.71,48,0,0,100,0,2,1,1,-1,1009.15,1176.08,1127.91
