,id,name,id_opp,name_opp,event_id,event_name,elo,elo_opp,height_diff,reach_diff,ss_min_diff,str_acc_diff,str_a_min_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,wins_diff,losses_diff,momentum_diff,wl_diff_diff,outcome
33,b361180739bed4b0,David Abbott,33e33d51f289d2a1,Maurice Smith,07a18ae55dfc3cd9,UFC 15: Collision Course,947.0948144732661,1034.9318000291948,-2.0,-0.0,0.9400000000000002,-16.0,3.08,-22.0,0.18000000000000005,-17.0,46.0,-0.9,2.0,10.0,-8.0,-8.0,L
34,0aa92558424ced9e,Randy Couture,33e33d51f289d2a1,Maurice Smith,29f935654825331b,UFC - Ultimate Japan,1034.7140205734613,1057.5049061045975,-1.0,0.0,2.44,11.0,1.06,-1.0,1.8899999999999997,-4.0,38.0,-0.4,10.0,6.0,-2.0,4.0,W
35,33e33d51f289d2a1,Maurice Smith,0aa92558424ced9e,Randy Couture,29f935654825331b,UFC - Ultimate Japan,1057.5049061045975,1034.7140205734613,1.0,-0.0,-2.44,-11.0,-1.06,1.0,-1.8899999999999997,4.0,-38.0,0.4,-10.0,-6.0,2.0,-4.0,L
36,cedfdf8d423d500c,Pat Miletich,b19fc66613dc75b9,Chris Brennan,749685d24e2cac50,UFC 16: Battle in the Bayou,1000.0,1000.0,2.0,0.0,1.19,5.0,0.69,13.0,1.96,100.0,29.0,-1.1,5.0,-2.0,1.0,7.0,W
37,b19fc66613dc75b9,Chris Brennan,cedfdf8d423d500c,Pat Miletich,749685d24e2cac50,UFC 16: Battle in the Bayou,1000.0,1000.0,-2.0,-0.0,-1.19,-5.0,-0.69,-13.0,-1.96,-100.0,-29.0,1.1,-5.0,2.0,-1.0,-7.0,L
38,b76ed59283d3559c,Tsuyoshi Kohsaka,08ae5cd9aef7ddd3,Kimo Leopoldo,749685d24e2cac50,UFC 16: Battle in the Bayou,1000.0,945.5796043066061,-4.0,0.0,1.1199999999999999,-45.0,2.29,24.0,-3.2299999999999995,-80.0,33.0,-1.9,1.0,0.0,1.0,1.0,W
39,08ae5cd9aef7ddd3,Kimo Leopoldo,b76ed59283d3559c,Tsuyoshi Kohsaka,749685d24e2cac50,UFC 16: Battle in the Bayou,945.5796043066061,1000.0,4.0,-0.0,-1.1199999999999999,45.0,-2.29,-24.0,3.2299999999999995,80.0,-33.0,1.9,-1.0,0.0,-1.0,-1.0,L
40,1ccf4e7caff270df,Dan Henderson,e62b36885ecdac27,Allan Goes,4a01dc8376736ef5,UFC 17: Redemption,1000.0,1000.0,-1.0,-1.8769230769230774,1.7999999999999998,-5.0,1.35,10.0,-0.22999999999999998,12.0,57.0,-2.3000000000000003,25.0,12.0,1.0,13.0,W
41,e62b36885ecdac27,Allan Goes,1ccf4e7caff270df,Dan Henderson,4a01dc8376736ef5,UFC 17: Redemption,1000.0,1000.0,1.0,1.8769230769230774,-1.7999999999999998,5.0,-1.35,-10.0,0.22999999999999998,-12.0,-57.0,2.3000000000000003,-25.0,-12.0,-1.0,-13.0,L
42,1ccf4e7caff270df,Dan Henderson,952f6fa06f25a0ec,Carlos Newton,4a01dc8376736ef5,UFC 17: Redemption,1030.0,1000.0,2.0,-1.0,1.79,6.0,1.1500000000000001,7.0,-0.9500000000000002,-18.0,14.0,-0.6000000000000001,19.0,7.0,2.0,12.0,W
43,952f6fa06f25a0ec,Carlos Newton,1ccf4e7caff270df,Dan Henderson,4a01dc8376736ef5,UFC 17: Redemption,1000.0,1030.0,-2.0,1.0,-1.79,-6.0,-1.1500000000000001,-7.0,0.9500000000000002,18.0,-14.0,0.6000000000000001,-19.0,-7.0,-2.0,-12.0,L
44,6291ac0a3726732f,Pete Williams,21b8a0f5c231096f,Mark Coleman,4a01dc8376736ef5,UFC 17: Redemption,1000.0,1022.7073259264153,2.0,0.0,-1.27,10.0,0.1499999999999999,0.0,-2.05,0.0,-34.0,0.09999999999999998,-13.0,-5.0,-3.0,-8.0,W
