,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
1069,92b62174c175ce19,Clint Hester,74,205.0,77.0,3.36,42,3.44,56,1.02,35,60,0.0,4,3,1,-3
1070,13150cf89a5b81e0,Brandon Hester,73,205.0,75.875,3.53,53,0.4,68,4.0,80,0,0.0,0,0,0,0
1071,893d51aaf024eddd,Jimy Hettes,69,145.0,71.0,3.47,57,3.5,57,5.2,44,61,1.4,3,3,0,-2
1072,fdb02029556ff4ed,Conor Heun,70,155.0,75.75,2.92,36,3.66,54,2.45,31,33,0.3,1,3,-2,-1
1073,e69c5ce12f4e762b,Marcus Hicks,66,155.0,64.0,1.42,43,3.06,61,2.7,53,25,4.0,3,3,0,-3
1074,5bb0a618ad03ac64,Jay Hieron,72,170.0,75.0,1.66,32,1.89,61,4.05,60,66,1.0,4,4,0,-2
1075,7af33fc4435017f1,Brady Hiestand,68,135.0,71.0,4.4,49,6.67,41,6.0,54,50,0.0,0,1,-1,-1
1076,e5d03e4d966126bd,Jason High,68,155.0,73.0,1.28,42,1.56,48,2.36,63,37,2.8,8,5,3,-1
1077,318e629d1eb7aa49,Richie Hightower,68,170.0,75.75,4.62,35,6.92,21,3.46,100,100,0.0,0,1,-1,-1
1078,86b30a86664cb6e4,Isaiah Hill,70,155.0,75.75,4.84,50,0.97,80,0.0,0,66,14.5,1,2,-1,1
1079,bc7efc037c5f6550,Kailan Hill,73,185.0,77.0,2.6,53,4.8,37,3.0,42,0,0.0,0,1,-1,-1
1080,f0feeb2192937424,Angela Hill,63,115.0,64.0,5.36,48,4.98,62,0.61,29,76,0.1,9,12,-3,1
1081,006efbb0c1621fd7,Tyler Hill,75,170.0,75.75,3.64,39,5.33,47,0.0,0,0,0.0,0,1,-1,-1
1082,abbc737317f66b81,Corey Hill,76,155.0,80.0,3.57,46,1.61,70,3.02,80,100,0.0,1,2,-1,-2
1083,5444c5a201d3ee5a,Jamahal Hill,76,205.0,79.0,6.46,52,3.51,45,0.0,0,65,0.0,6,1,5,3
1084,06f0ffa6446c5b6d,Branden Lee Hinkle,75,235.0,75.75,2.61,69,3.91,26,4.34,57,66,4.3,1,2,-1,-2
1085,ef7fa30364cbe7f2,Hatsu Hioki,71,145.0,73.0,2.42,42,2.12,65,2.55,56,54,0.6,4,5,-1,-2
1086,9d4522df6fc49a47,Kuniyoshi Hironaka,70,168.0,70.0,1.98,40,3.01,54,1.91,30,25,0.6,3,6,-3,-1
1087,35faad160d346839,Mizuto Hirota,67,155.0,67.0,3.36,40,3.5,54,1.36,50,58,0.1,1,7,-6,-3
1088,30b577b112bef42d,Vernon Ramos Ho,66,170.0,75.75,4.0,25,8.0,55,0.0,0,0,0.0,0,1,-1,-1
1089,b57edace7b647f07,Matt Hobar,70,135.0,70.0,3.23,42,4.27,52,3.66,44,50,0.0,1,2,-1,-1
1090,afaad7d6a581e307,Bobby Hoffman,74,245.0,75.75,2.02,70,1.32,19,1.17,50,0,1.2,0,2,-2,-1
1091,84a067c46306a737,Sam Hoger,74,205.0,75.875,1.07,25,2.25,57,1.12,38,29,1.3,2,3,-1,-2
1092,66ab58d0b3783607,Andrew Holbrook,71,155.0,70.0,2.2,49,3.0,54,0.85,18,10,2.1,2,3,-1,-2
1093,acbb9c76f5894e36,Sean Holden,70,170.0,75.75,2.4,59,0.6,59,5.0,83,0,2.0,0,0,0,0
1094,fc60ecf0671b9489,Chris Holdsworth,71,135.0,75.75,1.85,29,1.94,58,3.38,62,100,2.0,2,0,2,2
1095,3a46b268013afede,Kevin Holland,75,170.0,81.0,3.9,54,2.41,55,0.84,43,50,0.6,11,4,7,2
1096,27d65e9d0fba61ea,Roger Hollett,71,205.0,75.875,1.83,47,6.47,34,1.0,28,30,0.0,0,2,-2,-2
1097,150ff4cc642270b9,Max Holloway,71,145.0,69.0,7.24,47,4.89,59,0.29,53,84,0.3,19,7,12,-1
1098,e30715382f42b772,Gabrielle Holloway,63,145.0,75.75,0.7,42,3.07,34,3.0,35,16,1.0,0,0,0,0
1099,ee28aa7f1043756c,Jeremie Holloway,72,170.0,75.75,0.81,50,0.51,79,0.0,0,0,0.0,0,0,0,0
1100,634e2fb70bde3fd5,Holly Holm,68,135.0,69.0,3.24,39,2.86,56,0.72,26,78,0.1,7,6,1,-1
1101,b5ea750025697880,Rex Holman,75,205.0,75.875,2.75,34,7.25,40,0.0,0,100,0.0,0,1,-1,-1
1102,8d20d76af3f213ce,Joseph Holmes,76,185.0,80.0,3.31,51,2.9,61,1.89,37,60,1.3,2,1,1,1
1103,a7151778b3381036,Kurt Holobaugh,71,155.0,70.0,4.51,42,4.28,46,0.97,36,45,0.7,0,5,-5,-3
1104,6e7c758f5cdec01a,Paddy Holohan,70,125.0,69.0,2.13,46,2.81,46,2.88,47,71,1.3,3,2,1,-1
1105,c11f50e9c1513ce9,Mark Holst,72,155.0,75.75,0.25,19,1.67,47,0.76,100,60,2.3,0,2,-2,-2
1106,df1eb4354d18a906,Scott Holtzman,69,155.0,69.0,4.32,48,3.58,53,2.07,56,66,0.2,7,5,2,-2
1107,71f048adbfed5b49,Sabah Homasi,72,170.0,72.0,4.98,48,6.91,47,2.8,50,66,0.0,0,4,-4,-4
1108,0a97691039c4bbfb,Mark Hominick,68,145.0,68.0,4.08,42,4.18,69,0.25,66,71,0.9,7,6,1,-4
1109,472f6f6e6d962f40,Barb Honchak,64,125.0,65.0,4.04,30,4.67,66,0.0,0,0,1.3,0,2,-2,-2
1110,4d2e3320d815f687,Chris Honeycutt,70,170.0,73.0,2.99,44,1.41,66,3.4,45,75,0.0,0,0,0,0
1111,b24666e26bd750a3,JunYoung Hong,68,145.0,69.0,3.53,39,3.27,54,0.0,0,40,0.0,0,1,-1,-1
1112,7f9abc4db2d05764,Lorenzo Hood,75,265.0,80.0,2.64,61,4.66,11,0.0,0,100,0.0,0,1,-1,-1
1113,193b9d1858bc4df3,Dan Hooker,72,145.0,75.0,4.91,47,4.81,51,0.89,36,78,0.2,11,8,3,-2
1114,971246648e162f0d,Chase Hooper,73,145.0,74.0,3.99,48,3.41,34,1.59,27,50,2.4,4,2,2,1
1115,18e8b7070228e728,Darrell Horcher,70,155.0,70.0,2.05,44,4.21,39,0.35,50,47,0.7,1,3,-2,-2
1116,3fa7688bfe48a493,Yoshinori Horie,68,145.0,70.0,2.76,49,5.65,48,0.0,0,0,0.0,0,1,-1,-1
1117,98aa60cf58071fd6,Kyoji Horiguchi,65,125.0,66.0,3.6,45,2.45,62,2.0,44,55,0.0,7,1,6,3
1118,f6c1ce7cfd600662,Yuma Horiuchi,66,125.0,67.0,3.73,30,5.0,35,2.0,16,0,2.0,0,1,-1,-1
1119,8d26912cd2aeb366,Jeremy Horn,73,185.0,74.0,1.19,39,1.99,55,1.83,38,29,1.1,9,8,1,-3
1120,e29cf523ebd155c5,Chris Horodecki,69,155.0,69.0,4.59,41,3.16,65,1.52,55,37,0.9,3,2,1,-1
1121,049d698d773eb3e1,Matt Horwich,73,185.0,75.75,1.11,62,2.16,38,0.33,9,28,2.7,0,3,-3,-3
1122,57591bbf1623574e,John Hosman,70,135.0,75.75,1.11,38,1.52,45,0.0,0,46,0.0,0,2,-2,-2
1123,97a8f39186f489db,Jeff Hougland,67,135.0,68.0,1.86,48,3.46,47,0.86,18,0,1.1,1,3,-2,-2
1124,36fbaa49a09ff997,Brian Houston,74,185.0,75.75,1.9,35,3.67,53,0.95,100,87,0.0,0,2,-2,-2
