,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
2295,1ebe20ebbfa15e29,Zhang Weili,64,115.0,75.0,6.53,48,2.3,68,1.61,40,100,1.6,2,0,2,2
2296,9ccdd2ce45903f34,Mark Weir,74,185.0,75.0,1.54,56,2.5,38,0.8,50,25,2.4,1,3,-2,-3
2297,f1b2a4365799c48b,Christian Wellisch,74,234.0,77.0,3.12,27,3.04,56,1.22,42,45,1.2,2,3,-1,-2
2298,492b202d2064e7a9,Fabricio Werdum,76,231.0,77.0,3.61,51,2.45,56,1.65,30,31,1.1,22,8,14,-1
2299,b51841e7c594090d,Mike Wessel,72,260.0,75.0,1.82,56,6.43,22,6.29,50,0,0.0,0,1,-1,-1
2300,ec2d13a87d3d9541,Sheldon Westcott,73,170.0,71.0,2.26,40,3.73,37,3.23,37,14,0.0,1,2,-1,1
2301,e57f0b06ea39e360,Coty Wheeler,66,135.0,67.0,1.88,22,3.16,59,0.87,37,33,2.6,1,3,-2,-2
2302,3dd949593346dbc3,Craig White,74,170.0,76.0,1.23,40,3.28,39,0.0,0,50,0.8,0,2,-2,-2
2303,c17041f1bb5768d8,Alex White,72,155.0,71.0,3.86,40,2.88,64,0.89,45,67,0.2,3,5,-2,-2
2304,12458872d6afae1b,Vernon White,72,205.0,75.87692307692308,2.11,38,2.2,54,0.88,28,44,0.0,0,5,-5,-3
2305,1dafccb62a0f98ec,Rob Whiteford,69,145.0,69.0,2.33,46,1.99,62,1.9,30,45,0.0,2,3,-1,-2
2306,22d1e00e1aabb7c9,Mike Whitehead,73,205.0,75.87692307692308,1.62,33,2.36,59,3.59,43,77,0.3,1,4,-3,-1
2307,129537073431e52e,Garett Whiteley,72,155.0,72.0,3.72,48,4.04,46,0.0,0,27,0.9,0,3,-3,-3
2308,b3d21b2610dcfaeb,Emily Whitmire,65,115.0,63.0,3.6,31,3.02,57,0.87,50,75,0.0,1,1,0,1
2309,e1147d3d2dabe1ce,Robert Whittaker,72,185.0,73.0,4.82,40,3.65,61,0.37,57,84,0.0,11,2,9,9
2310,efa1f6b42c86793c,Adam Wieczorek,77,250.0,81.0,1.68,38,1.87,48,0.41,33,58,0.4,2,1,1,-1
2311,60884f31ead1609c,Jonathan Wiezorek,75,250.0,75.0,1.27,58,5.47,31,1.91,20,0,0.0,1,1,0,-1
2312,4a482a0100cfcd0a,Justin Wilcox,66,155.0,75.0,3.82,28,2.63,71,1.43,16,100,0.0,5,3,2,-2
