name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX
Marvin Vettori,1371.03,4/14/2018 2:52,1415.01,1163.55,20
Vitor Ribeiro,1370.87,11/19/2010 2:52,1570.41,1268.5,25
Todd Duffee,1370.73,7/15/2015 2:52,1411.81,1256.84,12
Jesse Ronson,1370.59,12/8/2017 1:55,1445.22,1204.99,27
Wilson Gouveia,1370.56,4/27/2012 2:38,1418.31,1228.56,22
Jason Saggo,1370.23,9/16/2017 0:14,1447.7,1218.98,16
Luke Sanders,1370.15,8/25/2018 0:00,1497.28,1231.86,15
Jordan Rinaldi,1369.6,11/3/2018 0:00,1369.6,1194.55,22
Alexandre Franca Nogueira,1369.51,5/1/2014 2:24,1415.36,1201.41,27
Chase Hooper,1369.38,7/24/2018 0:14,1369.38,1070.94,10
Paul Craig,1369.14,3/17/2018 0:43,1434.02,1125.27,15
Koji Oishi,1368.78,8/29/2014 1:40,1431.39,1170.81,45
Justin Willis,1368.74,4/21/2018 2:09,1368.74,1155.68,10
Jordan Parsons,1368.55,11/20/2015 2:09,1430.38,1111.81,16
Nate Marquardt,1368.23,11/11/2017 2:24,1642.19,1331.24,56
James Mulheron,1367.93,7/16/2017 1:40,1448.33,1154,17
Luan Chagas,1367.7,4/21/2018 0:43,1433.96,1165.74,19
Pat Healy,1367.5,1/13/2018 4:48,1627.92,1258.55,62
Brennan Ward,1367.5,8/25/2017 2:52,1477.8,1260.44,21
Anthony Lapsley,1367.3,5/10/2014 0:14,1476.1,1192.89,33
Matthew Lopez,1367.18,4/14/2018 0:28,1428.57,1233.29,13
Kotetsu Boku,1367.18,12/9/2017 1:55,1437.86,1218.91,39
Matt Schnell,1366.95,6/23/2018 0:43,1372.1,1153.31,20
Jim Alers,1366.54,7/29/2017 1:40,1502.43,1196.74,18
Dwight Grant,1366.3,6/19/2018 0:14,1366.3,1098.5,12
Brandon Moreno,1366.13,5/19/2018 1:26,1448.24,1159.6,20
Allan Nascimento,1365.98,7/15/2017 3:36,1388.43,1126,21
Ryan Thomas,1365.91,5/9/2015 2:38,1365.91,1126.85,29
Dokonjonosuke Mishima,1365.82,10/15/2011 3:21,1439.66,1186.29,30
Chance Rencountre,1365.58,6/1/2018 0:57,1394.68,1170.14,15
Yan Cabral,1365.56,1/6/2017 1:55,1431.26,1180.63,17
Antonio Carvalho,1365.27,3/16/2013 1:26,1397.24,1210.84,21
